license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,staphylococcus aureus infection,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,streptococcal pneumonia,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,acute contagious conjunctivitis,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,necrotizing ulcerative gingivitis,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,lymphogranuloma venereum,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,acute gonococcal cervicitis,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,yaws,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,staphylococcal infection,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,conjunctivitis,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,leptospirosis,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,bacterial pneumonia,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,Mycoplasma pneumoniae pneumonia,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,chancroid,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,pneumonia caused by chlamydia,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,streptococcal infection,TxGNN Knowledge Graph
2,Azithral 500 Tablet,AZITHROMYCIN,DB00207,staphylococcus aureus pneumonia,TxGNN Knowledge Graph
3,Ascoril LS Syrup,AMBROXOL,DB06742,pharyngitis,TxGNN Knowledge Graph
4,Allegra 120mg Tablet,FEXOFENADINE,DB00950,vernal conjunctivitis,TxGNN Knowledge Graph
4,Allegra 120mg Tablet,FEXOFENADINE,DB00950,papillary conjunctivitis,TxGNN Knowledge Graph
4,Allegra 120mg Tablet,FEXOFENADINE,DB00950,idiopathic urticaria,TxGNN Knowledge Graph
